,Site_ID,gs,Guild,SamplingMethod,Abundance,Sampled_area,Sampled_time,Description,,Latitude,Longtiude,ID,Date,Collector,Family,Genus,Species
3,site_3,Apis_mellifera,honeybee,bee_bowl,1,50,9,15 bee bowls,,47.57,-122.316,EHB8593,8/31/2016,Bloom,Apidae,Apis,mellifera
3,site_3,Apis_mellifera,honeybee,blue_vane_trap,1,50,9,3 blue vane traps,,47.57,-122.316,EHB8584,8/31/2016,Bloom,Apidae,Apis,mellifera
3,site_3,Apis_mellifera,honeybee,sweep_net,7,50,1,,,47.57,-122.316,EHB8580,8/31/2016,Bloom,Apidae,Apis,mellifera
3,site_3,Bombus_vosnesenskii,bumblebee,blue_vane_trap,1,50,9,3 blue vane traps,,47.57,-122.316,EHB8581,8/31/2016,Bloom,Apidae,Bombus,vosnesenskii
3,site_3,Bombus_vosnesenskii,bumblebee,sweep_net,4,50,1,,,47.57,-122.316,EHB8578,8/31/2016,Bloom,Apidae,Bombus,vosnesenskii
5,site_5,Agapostemon_texanus,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,47.057,-122.97,EHB9606,9/13/2016,Bloom,Halictidae,Agapostemon,texanus
5,site_5,Agapostemon_virescens,other_wild_bees,bee_bowl,3,50,9,15 bee bowls,,47.057,-122.97,EHB9612,9/13/2016,Bloom,Halictidae,Agapostemon,virescens
5,site_5,Apis_mellifera,honeybee,bee_bowl,3,50,9,15 bee bowls,,47.057,-122.97,EHB9610,9/13/2016,Bloom,Apidae,Apis,mellifera
5,site_5,Apis_mellifera,honeybee,blue_vane_trap,1,50,9,3 blue vane traps,,47.057,-122.97,EHB9601,9/13/2016,Bloom,Apidae,Apis,mellifera
5,site_5,Apis_mellifera,honeybee,sweep_net,30,50,1,,,47.057,-122.97,EHB9594,9/13/2016,Bloom,Apidae,Apis,mellifera
5,site_5,Bombus_flavifrons,bumblebee,sweep_net,1,50,1,,,47.057,-122.97,EHB8606,8/2/2016,Bloom,Apidae,Bombus,flavifrons
5,site_5,Bombus_vosnesenskii,bumblebee,bee_bowl,3,50,9,15 bee bowls,,47.057,-122.97,EHB8633,8/2/2016,Bloom,Apidae,Bombus,vosnesenskii
5,site_5,Bombus_vosnesenskii,bumblebee,blue_vane_trap,15,50,9,3 blue vane traps,,47.057,-122.97,EHB9605,9/13/2016,Bloom,Apidae,Bombus,vosnesenskii
