Site,Site_ID,gs,Guild,Abundance,Guild Abundance,SamplingMethod,Sampled_area,Sampled_time,Description,Latitude,Longtiude,ID,Date,SamplingMethod,Collector,Family,Genus,Species,Abundance,# diff species,obs 1 time,obs 2 times,Chao1,Chao1
3,site_3,Bombus_californicus,bumblebee,2,21,blue_vane,50,9,3 blue vane traps,47.57,-122.316,EHB8919,7/31/2016,blue_vane,Bloom,Apidae,Bombus,californicus,2,5,2,1,7,6
3,site_3,Bombus_vosnesenskii,bumblebee,7,,blue_vane,50,9,3 blue vane traps,47.57,-122.316,EHB8913,7/31/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,7,,,,,34.5
3,site_3,Bombus_vosnesenskii,bumblebee,12,,sweep_net,50,1,,47.57,-122.316,EHB8885,7/31/2016,sweep_net,Bloom,Apidae,Bombus,vosnesenskii,12,,,,,16
3,site_3,Apis_mellifera,honeybee,2,21,bee_bowl,50,9,15 bee bowls,47.57,-122.316,EHB8931,7/31/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,2,,,,,7
3,site_3,Apis_mellifera,honeybee,1,,blue_vane,50,9,3 blue vane traps,47.57,-122.316,EHB8584,8/31/2016,blue_vane,Bloom,Apidae,Apis,mellifera,1,,,,,11.5
3,site_3,Apis_mellifera,honeybee,18,,sweep_net,50,1,,47.57,-122.316,EHB8889,7/31/2016,sweep_net,Bloom,Apidae,Apis,mellifera,18,,,,,7
3,site_3,Colletes_cfkincaidii,other_wild_bee,1,2,sweep_net,50,1,,47.57,-122.316,EHB8893,7/31/2016,sweep_net,Bloom,Colletidae,Colletes,cfkincaidii,1,,,,,8
3,site_3,Halictus_tripartitus,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.57,-122.316,EHB8927,7/31/2016,bee_bowl,Bloom,Halictidae,Halictus,tripartitus,1,,,,,4.5
5,site_5,Bombus_flavifrons,bumblebee,1,29,sweep_net,50,1,,47.057,-122.97,EHB8606,8/2/2016,sweep_net,Bloom,Apidae,Bombus,flavifrons,1,,,,,7
5,site_5,Bombus_vosnesenskii,bumblebee,3,,bee_bowl,50,9,15 bee bowls,47.057,-122.97,EHB9607,9/13/2016,bee_bowl,Bloom,Apidae,Bombus,vosnesenskii,3,,,,,6
5,site_5,Bombus_vosnesenskii,bumblebee,15,,blue_vane,50,9,3 blue vane traps,47.057,-122.97,EHB8613,8/2/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,15,,,,,
5,site_5,Bombus_vosnesenskii,bumblebee,10,,sweep_net,50,1,,47.057,-122.97,EHB8595,8/2/2016,sweep_net,Bloom,Apidae,Bombus,vosnesenskii,10,,,,,
5,site_5,Apis_mellifera,honeybee,3,34,bee_bowl,50,9,15 bee bowls,47.057,-122.97,EHB8630,8/2/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,3,,,,,5
5,site_5,Apis_mellifera,honeybee,1,,blue_vane,50,9,3 blue vane traps,47.057,-122.97,EHB9601,9/13/2016,blue_vane,Bloom,Apidae,Apis,mellifera,1,,,,,6
5,site_5,Apis_mellifera,honeybee,30,,sweep_net,50,1,,47.057,-122.97,EHB8603,8/2/2016,sweep_net,Bloom,Apidae,Apis,mellifera,30,,,,,1
5,site_5,Agapostemon_texanus,other_wild_bee,1,7,bee_bowl,50,9,15 bee bowls,47.057,-122.97,EHB9613,9/13/2016,bee_bowl,Bloom,Halictidae,Agapostemon,texanus,1,,,,,5.5
5,site_5,Agapostemon_texanus,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,47.057,-122.97,EHB9606,9/13/2016,blue_vane,Bloom,Halictidae,Agapostemon,texanus,1,,,,,11.5
5,site_5,Agapostemon_virescens,other_wild_bee,3,,bee_bowl,50,9,15 bee bowls,47.057,-122.97,EHB9608,9/13/2016,bee_bowl,Bloom,Halictidae,Agapostemon,virescens,3,,,,,8
5,site_5,Halictus_rubicundus,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.057,-122.97,EHB8629,8/2/2016,bee_bowl,Bloom,Halictidae,Halictus,rubicundus,1,,,,,
5,site_5,Lasioglossum_cfmellipes,other_wild_bee,1,,sweep_net,50,1,,47.057,-122.97,EHB9575,9/13/2016,sweep_net,Bloom,Halictidae,Lasioglossum,cfmellipes,1,7,3,1,11.5,
6,site_6,Bombus_flavifrons,bumblebee,1,31,bee_bowl,50,9,15 bee bowls,47.678,-121.949,EHB8111,7/9/2016,bee_bowl,Bloom,Apidae,Bombus,flavifrons,1,7,3,0,7,
6,site_6,Bombus_flavifrons,bumblebee,18,,sweep_net,50,1,,47.678,-121.949,EHB8072,7/9/2016,sweep_net,Bloom,Apidae,Bombus,flavifrons,18,,,,,
