Specimen #,Location,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes,,,,,,
2547,Wobbly Cart,B,8/2/16,EHB,6.1108,9,Y,None,,,,,,
55404,Harmony Fields,B,8/3/16,EHB,8.7557,11,N,Pinched End of Fruit,,,,,,
5960,Riversong Farm,B,8/3/16,EHB,5.8806,10,Y,None,,,,,,
80070,Riversong Farm,B,8/4/16,EHB,3.4089,10,N,Burn,,,,,,
51301,Harmony Fields,B,8/4/16,EHB,4.8395,11,N,Burn,,,,,,
6119,Riversong Farm,B,8/4/16,EHB,5.3246,10,N,Burn,,,,,,
55815,Riversong Farm,B,8/4/16,EHB,2.3896,10,N,Burn,,,,,,
89892,Harmony Fields,B,8/4/16,EHB,8.8921,11,N,Slightly Pinched End of Fruit,,,,,,
21963,Wobbly Cart,B,8/4/16,EHB,4.8439,9,N,Fruit Dented,,,,,,
21906,Wobbly Cart,B,8/4/16,EHB,10.4526,9,N,Fruit Dented,,,,,,
16907,Wobbly Cart,B,8/4/16,EHB,1.7864,9,N,Pinched End of Fruit (and small),,,,,,
85708,Wobbly Cart,B,8/5/16,HH,11.914,9,Y,None,,,,,,
78968,Riversong Farm,B,8/5/16,HH,6.1648,10,N,Pinched End of Fruit (and small),,,,,,
86669,Rising River,B,8/6/16,HH,7.3082,9,N,Fruit Dented and burn,,,,,,
666,Rising River,B,8/7/16,HH,4.273,9,N,Fruit Dented and Pinched,,,,,,
17194,Harmony Fields,B,8/7/16,HH,7.1716,11,N,Burn,,,,,,
55815,Riversong Farm,B,8/8/16,HH,2.7547,10,N,Burn,,,,,,
67571,Caliope,B,8/9/16,HH,8.3764,#N/A,N,Burn and pinched end of fruit,,,,,,
38234,The Evergreen State College,B,8/9/16,HH,2.283,#N/A,N,Burn,,,,,,
68000,Harmony Fields,B,8/10/16,HH,10.5813,11,N,Burn,,,,,,
68000,Harmony Fields,B,8/10/16,HH,9.3651,11,N,Fruit Dented,,,,,,
62528,Rising River,B,8/10/16,HH,10.8268,9,N,Fruit Dented,,,,,,
38448,Rising River,B,8/11/16,HH,8.2297,9,N,Fruit Dented,,,,,,
43158,The Evergreen State College,B,8/11/16,HH,3.0076,#N/A,N,Burn,,,,,,
2547,Wobbly Cart,B,8/12/16,HH,4.8895,9,N,Burn,,,,,,
9280,Riversong Farm,B,8/12/16,HH,7.3386,10,N,Fruit Dented and Pinched,,,,,,
65322,Rising River,B,8/13/16,HH,15.1096,9,Y,None,,,,,,
70625,Steel Wheel,B,8/13/16,HH,2.0518,10,N,Burn,,,,,,
70625,Steel Wheel,B,8/13/16,HH,2.0632,10,N,Burn,,,,,,
35056,New Holly,B,8/13/16,HH,3.0427,13,N,Burn,,,,,,
2269,Maa nyei lai ndeic,B,8/13/16,HH,10.4993,#N/A,N,Burn,,,,,,
39229,Wobbly Cart,B,8/13/16,HH,5.8191,9,N,Burn,,,,,,,,,,,,,,,,,,,
13950,The Evergreen State College,B,8/14/16,EHB,5.1152,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
99997,The Evergreen State College,B,8/14/16,EHB,7.0878,#N/A,N,Pinched End of Fruit,,,,,,,,,,,,,,,,,,,
73989,The Evergreen State College,B,8/14/16,EHB,8.8626,#N/A,N,Nippled End,,,,,,,,,,,,,,,,,,,
80953,The Evergreen State College,B,8/14/16,EHB,4.1957,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
98098,Caliope,B,8/14/16,EHB,7.9112,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
80953,The Evergreen State College,B,8/14/16,EHB,4.0742,#N/A,N,Fruit Dented,,,,,,,,,,,,,,,,,,,
21906,Wobbly Cart,B,8/14/16,EHB,8.8633,9,Y,None,,,,,,,,,,,,,,,,,,,
33044,Caliope,B,8/14/16,EHB,8.019,#N/A,N,Pinched End of Fruit,,,,,,,,,,,,,,,,,,,
41457,Caliope,B,8/14/16,EHB,2.5536,#N/A,N,Burn,,,,,,,,,,,,,,,,,,,
96310,Caliope,B,8/14/16,EHB,10.9597,#N/A,N,Pinched End of Fruit,,,,,,,,,,,,,,,,,,,
56955,Caliope,B,8/14/16,EHB,5.1668,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
45668,Maa nyei lai ndeic,B,8/14/16,EHB,3.7337,#N/A,N,Burn,,,,,,,,,,,,,,,,,,,
47719,Steel Wheel,B,8/14/16,EHB,1.3762,10,N,Burn/dessication,,,,,,,,,,,,,,,,,,,
60924,Maa nyei lai ndeic,B,8/14/16,EHB,7.3922,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
47719,Steel Wheel,B,8/14/16,EHB,1.682,10,Y,None,,,,,,,,,,,,,,,,,,,
82207,Present Tense,B,8/14/16,EHB,1.92,7,N,Burn,,,,,,,,,,,,,,,,,,,
7482,Present Tense,B,8/14/16,EHB,4.1478,7,N,Burn,,,,,,,,,,,,,,,,,,,
86239,Maa nyei lai ndeic,B,8/14/16,EHB,3.2367,#N/A,N,Burn,,,,,,,,,,,,,,,,,,,
60192,New Holly,B,8/14/16,EHB,1.4141,13,N,Burn,,,,,,,,,,,,,,,,,,,
82207,Present Tense,B,8/14/16,EHB,5.7633,7,N,Pinched/Nippled End of Fruit,,,,,,,,,,,,,,,,,,,
69991,Wendell Berry/ Urban Futures Farm,B,8/14/16,EHB,5.237,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
69991,Wendell Berry/ Urban Futures Farm,B,8/14/16,EHB,4.1147,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
21452,GRuB,B,8/14/16,EHB,1.0107,10,N,Burn,,,,,,,,,,,,,,,,,,,
2015,GRuB,B,8/14/16,EHB,3.7072,10,Y,None,,,,,,,,,,,,,,,,,,,
27717,GRuB,B,8/14/16,EHB,0.8725,10,N,Burn,,,,,,,,,,,,,,,,,,,
65294,GRuB,B,8/14/16,EHB,3.3296,10,N,Pinched End of Fruit,,,,,,,,,,,,,,,,,,,
16233,GRuB,B,8/14/16,EHB,6.5111,10,Y,None,,,,,,,,,,,,,,,,,,,
48197,Present Tense,B,8/14/16,EHB,9.4867,7,N,Dents (minor),,,,,,,,,,,,,,,,,,,
44625,Steel Wheel,B,8/14/16,EHB,8.7287,10,Y,None,,,,,,,,,,,,,,,,,,,
14755,Present Tense,B,8/14/16,EHB,1.3393,7,N,Burn/dessication,,,,,,,,,,,,,,,,,,,
18620,Present Tense,B,8/14/16,EHB,8.6718,7,Y,None,,,,,,,,,,,,,,,,,,,
47569,Present Tense,B,8/14/16,EHB,5.5499,7,Y,None,,,,,,,,,,,,,,,,,,,
34461,Steel Wheel,B,8/14/16,EHB,2.2993,10,N,Burn/dessication,,,,,,,,,,,,,,,,,,,
92328,Steel Wheel,B,8/14/16,EHB,0.9552,10,N,Burn,,,,,,,,,,,,,,,,,,,
54980,Wendell Berry/ Urban Futures Farm,B,8/14/16,EHB,5.1882,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
51078,Wendell Berry/ Urban Futures Farm,B,8/14/16,EHB,4.0502,#N/A,N,Dent,,,,,,,,,,,,,,,,,,,
15070,Wendell Berry/ Urban Futures Farm,B,8/14/16,EHB,1.5845,#N/A,N,Burn,,,,,,,,,,,,,,,,,,,
73414,Wendell Berry/ Urban Futures Farm,B,8/14/16,EHB,12.2843,#N/A,Y,None,,,,,,,,,,,,,,,,,,,
2015,GRuB,B,8/15/16,EHB,3.6292,10,N,Burn,,,,,,,,,,,,,,,,,,,
34963,Camp Korey,B,8/15/16,EHB,7.997,10,Y,None,,,,,,,,,,,,,,,,,,,
59342,Sol to Seed,B,8/15/16,EHB,7.2467,9,Y,None,,,,,,,,,,,,,,,,,,,
56655,Camp Korey,B,8/15/16,EHB,3.462,10,Y,None,,,,,,,,,,,,,,,,,,,
56655,Camp Korey,B,8/15/16,EHB,4.2128,10,N,Dessicated,,,,,,,,,,,,,,,,,,,
47897,Camp Korey,B,8/15/16,EHB,2.5996,10,N,Burn,,,,,,,,,,,,,,,,,,,
89213,Sol to Seed,B,8/15/16,EHB,2.2819,9,N,Burn,,,,,,,,,,,,,,,,,,,
47897,Camp Korey,B,8/16/16,EHB,1.3565,10,N,Dessicated,,,,,,,,,,,,,,,,,,,
55442,Sol to Seed,B,8/16/16,EHB,6.5667,9,Y,None,,,,,,,,,,,,,,,,,,,
20456,Sol to Seed,B,8/16/16,EHB,6.0753,9,N,Dent,,,,,,,,,,,,,,,,,,,
