Specimen #,Site,SiteID,Latitude,Longitude,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes
86551,Beacon_Food_Forest,site_3,47.57,-122.316,B,8/21/16,EHB,6.2766,19,N,Catfaced
63490,Beacon_Food_Forest,site_3,47.57,-122.316,B,8/22/16,EHB,8.4933,19,Y,None
83009,Beacon_Food_Forest,site_3,47.57,-122.316,B,8/23/16,EHB,5.743,19,Y,None
26586,Beacon_Food_Forest,site_3,47.57,-122.316,B,8/23/16,EHB,2.0601,19,N,Catfaced
83009,Beacon_Food_Forest,site_3,47.57,-122.316,B,8/24/16,EHB,3.2218,19,N,Nipple
71150,Beacon_Food_Forest,site_3,47.57,-122.316,B,8/24/16,EHB,6.3097,19,N,Nipple
90470,Beacon_Food_Forest,site_3,47.57,-122.316,B,9/27/16,KB,5.8911,19,N,Minor dent on bottom
21739,Beacon_Food_Forest,site_3,47.57,-122.316,B,9/27/16,KB,8.4815,19,Y,Nice uniform shape
21174,Beacon_Food_Forest,site_3,47.57,-122.316,B,9/28/16,KB,4.259,19,N,Catfaced and dented
21739,Beacon_Food_Forest,site_3,47.57,-122.316,B,9/29/16,KB,3.3104,19,Y,Normal small (2 of 2)
54929,Beacon_Food_Forest,site_3,47.57,-122.316,B,10/3/16,EB,1.2332,19,N,Catface
68508,Beacon_Food_Forest,site_3,47.57,-122.316,O,8/21/16,EHB,4.6106,19,N,Dent (minor)
89147,Beacon_Food_Forest,site_3,47.57,-122.316,O,8/21/16,EHB,2.4463,19,N,Catfaced
89147,Beacon_Food_Forest,site_3,47.57,-122.316,O,8/22/16,EHB,4.5206,19,N,Catfaced
22686,Beacon_Food_Forest,site_3,47.57,-122.316,O,8/22/16,EHB,6.0265,19,Y,None
21253,Beacon_Food_Forest,site_3,47.57,-122.316,O,8/23/16,EHB,5.3888,19,Y,None
52541,Beacon_Food_Forest,site_3,47.57,-122.316,O,8/23/16,EHB,9.1434,19,Y,None
44109,Beacon_Food_Forest,site_3,47.57,-122.316,O,8/24/16,EHB,4.902,19,Y,None
3530,Beacon_Food_Forest,site_3,47.57,-122.316,O,9/29/16,KB,2.245,19,N,Eggplant shaped
67571,Caliope,site_5,47.057,-122.97,B,8/9/16,HH,8.3764,#N/A,N,Burn and pinched end of fruit
98098,Caliope,site_5,47.057,-122.97,B,8/14/16,EHB,7.9112,#N/A,Y,None
33044,Caliope,site_5,47.057,-122.97,B,8/14/16,EHB,8.019,#N/A,N,Pinched End of Fruit
41457,Caliope,site_5,47.057,-122.97,B,8/14/16,EHB,2.5536,#N/A,N,Burn
96310,Caliope,site_5,47.057,-122.97,B,8/14/16,EHB,10.9597,#N/A,N,Pinched End of Fruit
56955,Caliope,site_5,47.057,-122.97,B,8/14/16,EHB,5.1668,#N/A,Y,None
38910,Caliope,site_5,47.057,-122.97,B,10/15/16,EB,7.3335,#N/A,N,Dent and dessicated
